caso,data,dias_desde_estopim,fase,papel,mencoes,mencoes_dia,parcela_dia,contas,de_acusadores,de_defensores,de_neutros,n_nos,nd
arthur_do_val,2022-03-12,8,declinio,aliado_do_alvo,31,1801,0.017212659633536923,1,0.6774193548387096,0.0967741935483871,0.22580645161290322,751,False
arthur_do_val,2022-03-12,8,declinio,alvo,417,1801,0.23153803442531926,1,0.7146282973621103,0.11990407673860912,0.16546762589928057,751,False
arthur_do_val,2022-03-12,8,declinio,demais,528,1801,0.29317046085508053,275,0.6571969696969697,0.12878787878787878,0.21401515151515152,751,False
arthur_do_val,2022-03-12,8,declinio,instituicao_legitimadora,670,1801,0.3720155469183787,5,0.753731343283582,0.14328358208955225,0.10298507462686567,751,False
arthur_do_val,2022-03-12,8,declinio,lider_acusacao,28,1801,0.015546918378678512,2,0.9285714285714286,0.03571428571428571,0.03571428571428571,751,False
arthur_do_val,2022-03-12,8,declinio,outro,4,1801,0.002220988339811216,1,0.5,0.5,0.0,751,False
arthur_do_val,2022-03-12,8,declinio,veiculo,33,1801,0.018323153803442533,3,0.42424242424242425,0.06060606060606061,0.5151515151515151,751,False
arthur_do_val,2022-03-13,9,declinio,aliado_afastado,111,1233,0.09002433090024331,4,0.7837837837837838,0.14414414414414414,0.07207207207207207,779,False
arthur_do_val,2022-03-13,9,declinio,aliado_do_alvo,11,1233,0.008921330089213302,1,0.8181818181818182,0.09090909090909091,0.09090909090909091,779,False
arthur_do_val,2022-03-13,9,declinio,alvo,300,1233,0.24330900243309003,1,0.7033333333333334,0.11666666666666667,0.18,779,False
arthur_do_val,2022-03-13,9,declinio,demais,633,1233,0.51338199513382,314,0.717219589257504,0.12164296998420221,0.16113744075829384,779,False
arthur_do_val,2022-03-13,9,declinio,instituicao_legitimadora,121,1233,0.09813463098134631,5,0.743801652892562,0.11570247933884298,0.14049586776859505,779,False
arthur_do_val,2022-03-13,9,declinio,lider_acusacao,3,1233,0.0024330900243309003,1,0.6666666666666666,0.3333333333333333,0.0,779,False
arthur_do_val,2022-03-13,9,declinio,outro,10,1233,0.008110300081103,3,0.4,0.1,0.5,779,False
arthur_do_val,2022-03-13,9,declinio,veiculo,44,1233,0.035685320356853206,3,0.7954545454545454,0.022727272727272728,0.18181818181818182,779,False
arthur_do_val,2022-03-14,10,declinio,aliado_afastado,53,820,0.06463414634146342,4,0.7924528301886793,0.11320754716981132,0.09433962264150944,386,False
arthur_do_val,2022-03-14,10,declinio,aliado_do_alvo,13,820,0.015853658536585366,1,0.5384615384615384,0.3076923076923077,0.15384615384615385,386,False
arthur_do_val,2022-03-14,10,declinio,alvo,198,820,0.24146341463414633,1,0.6060606060606061,0.1414141414141414,0.25252525252525254,386,False
arthur_do_val,2022-03-14,10,declinio,demais,495,820,0.6036585365853658,169,0.5515151515151515,0.2383838383838384,0.2101010101010101,386,False
arthur_do_val,2022-03-14,10,declinio,instituicao_legitimadora,7,820,0.00853658536585366,2,0.7142857142857143,0.14285714285714285,0.14285714285714285,386,False
arthur_do_val,2022-03-14,10,declinio,lider_acusacao,27,820,0.032926829268292684,2,0.07407407407407407,0.9259259259259259,0.0,386,False
arthur_do_val,2022-03-14,10,declinio,outro,2,820,0.0024390243902439024,2,0.5,0.5,0.0,386,False
arthur_do_val,2022-03-14,10,declinio,veiculo,25,820,0.03048780487804878,3,0.64,0.08,0.28,386,False
monark,2022-02-07,-1,pre_crise,alvo,1,1,1.0,1,1.0,0.0,0.0,2,True
monark,2022-02-08,0,estopim,aliado_do_alvo,9,1004,0.008964143426294821,1,0.6666666666666666,0.3333333333333333,0.0,717,False
monark,2022-02-08,0,estopim,alvo,142,1004,0.14143426294820718,1,0.5352112676056338,0.3028169014084507,0.1619718309859155,717,False
monark,2022-02-08,0,estopim,demais,472,1004,0.4701195219123506,340,0.5063559322033898,0.3580508474576271,0.13559322033898305,717,False
monark,2022-02-08,0,estopim,instituicao_legitimadora,335,1004,0.3336653386454183,11,0.4925373134328358,0.2865671641791045,0.2208955223880597,717,False
monark,2022-02-08,0,estopim,lider_acusacao,9,1004,0.008964143426294821,1,0.8888888888888888,0.0,0.1111111111111111,717,False
monark,2022-02-08,0,estopim,veiculo,21,1004,0.02091633466135458,3,0.6190476190476191,0.047619047619047616,0.3333333333333333,717,False
monark,2022-02-08,0,estopim,vitima_secundaria,16,1004,0.01593625498007968,1,0.6875,0.3125,0.0,717,False
monark,2022-02-09,1,pico,acusador,11,1500,0.007333333333333333,1,0.0,0.8181818181818182,0.18181818181818182,1111,False
monark,2022-02-09,1,pico,alvo,190,1500,0.12666666666666668,1,0.4421052631578947,0.4473684210526316,0.11052631578947368,1111,False
monark,2022-02-09,1,pico,demais,743,1500,0.49533333333333335,507,0.3553162853297443,0.49125168236877526,0.15343203230148048,1111,False
monark,2022-02-09,1,pico,instituicao_legitimadora,437,1500,0.29133333333333333,11,0.4645308924485126,0.43935926773455375,0.09610983981693363,1111,False
monark,2022-02-09,1,pico,lider_acusacao,10,1500,0.006666666666666667,1,0.9,0.1,0.0,1111,False
monark,2022-02-09,1,pico,veiculo,33,1500,0.022,3,0.45454545454545453,0.09090909090909091,0.45454545454545453,1111,False
monark,2022-02-09,1,pico,vitima_secundaria,76,1500,0.050666666666666665,2,0.4473684210526316,0.4868421052631579,0.06578947368421052,1111,False
monark,2022-02-10,2,declinio,acusador,1,980,0.0010204081632653062,1,1.0,0.0,0.0,517,False
monark,2022-02-10,2,declinio,alvo,189,980,0.19285714285714287,1,0.36507936507936506,0.3386243386243386,0.2962962962962963,517,False
